t0,lag1_age_band,lag1_ever_rehab_to_date,lag1_ge_cat,real_admissible_share,synthetic_admissible_share,share_diff_pp,score_ranges_overlap,status
2012,65-69,0,1,0.975788,,,,NOT_PRESENT_AT_THIS_SCALE
2013,65-69,0,1,0.966522,,,,NOT_PRESENT_AT_THIS_SCALE
2014,65-69,0,1,0.941159,,,,NOT_PRESENT_AT_THIS_SCALE
2012,50-54,0,1,0.063853,0.332521,26.867,True,FAIL
2017,65-69,0,1,0.937713,,,,NOT_PRESENT_AT_THIS_SCALE
2016,65-69,0,1,0.980028,,,,NOT_PRESENT_AT_THIS_SCALE
2015,65-69,0,1,0.935888,,,,NOT_PRESENT_AT_THIS_SCALE
2013,60-64,0,1,0.367179,,,,NOT_PRESENT_AT_THIS_SCALE
2018,65-69,0,1,0.926688,,,,NOT_PRESENT_AT_THIS_SCALE
2012,60-64,0,1,0.330976,,,,NOT_PRESENT_AT_THIS_SCALE
2012,60-64,0,2,0.456873,,,,NOT_PRESENT_AT_THIS_SCALE
2014,60-64,0,1,0.319139,,,,NOT_PRESENT_AT_THIS_SCALE
2013,50-54,0,1,0.048665,0.993804,94.514,True,FAIL
2012,65-69,0,2,0.958426,,,,NOT_PRESENT_AT_THIS_SCALE
2013,45-49,0,1,0.036519,0.329679,29.316,True,FAIL
2015,60-64,0,1,0.316498,,,,NOT_PRESENT_AT_THIS_SCALE
2014,70-74,0,1,0.992334,,,,NOT_PRESENT_AT_THIS_SCALE
2012,45-49,0,1,0.03162,0.971864,94.024,False,FAIL
2012,45-49,0,2,0.034573,0.001289,3.328,True,PASS
2014,50-54,0,1,0.046799,0.006289,4.051,True,PASS
